,poi,salary,deferral_payments,total_payments,loan_advances,bonus,restricted_stock_deferred,deferred_income,total_stock_value,expenses,exercised_stock_options,other,long_term_incentive,restricted_stock,director_fees,to_messages,from_poi_to_this_person,from_messages,from_this_person_to_poi,shared_receipt_with_poi
bonus,0.359381303662,0.649637633909,0.17469527847,0.559795188205,0.432386551435,1.0,-0.0432032823267,-0.331748986518,0.461614735468,0.246102762424,0.416767999095,0.383661089718,0.497975814653,0.423973732836,-0.176013434339,0.520081104133,0.641137079753,0.174600947829,0.448719481678,0.665150870095
deferral_payments,-0.0390672626834,0.243606393803,1.0,0.141531112245,0.0146820681443,0.17469527847,-0.0303867520065,-0.543416235181,0.119081553954,-0.0201350528929,0.117976186784,0.369037666621,0.119951504873,0.0886142146513,-0.0946618379485,0.124692429925,0.217234951293,0.029140811802,0.00237448382555,0.210610280687
deferred_income,-0.274761778742,-0.330233599019,-0.543416235181,-0.103968953866,-0.0253676925479,-0.331748986518,0.0478429154782,1.0,-0.245018003997,-0.0416384744343,-0.268770665724,-0.265704091351,-0.296561412017,-0.12648650577,0.0757755473094,-0.122059927999,-0.195217499406,-0.0148419162609,-0.0049919279866,-0.236774905886
director_fees,-0.120936203747,-0.302187886136,-0.0946618379485,-0.0259157197965,-0.0275417630602,-0.176013434339,0.346193385412,0.0757755473094,-0.146216865516,-0.137513498191,-0.116130394239,-0.0798989625663,-0.157442509051,-0.177184732758,1.0,-0.169388784732,-0.167538686242,-0.0797875960758,-0.098722265203,-0.196130375743
exercised_stock_options,0.387552515957,0.449913093968,0.117976186784,0.598970769423,0.568085637245,0.416767999095,-0.00218135157693,-0.268770665724,0.963921426094,0.12262821621,1.0,0.55085057685,0.399427728218,0.587478889032,-0.116130394239,0.0859180649044,0.125965038954,-0.0233223736668,0.00267018821324,0.126581370016
expenses,0.205076641522,0.3614326445,-0.0201350528929,0.151734201219,0.121676622133,0.246102762424,-0.0675393457922,-0.0416384744343,0.153640086551,1.0,0.12262821621,0.13887701317,0.0978978884359,0.181428348658,-0.137513498191,0.243540776497,0.148235012558,0.155852224286,0.134638766732,0.287914833967
from_messages,-0.0339816571051,0.14404324437,0.029140811802,0.00909323617868,-0.0195177229365,0.174600947829,-0.0223959274226,-0.0148419162609,-0.0112685712152,0.155852224286,-0.0233223736668,-0.0543163987399,0.0554610665536,0.0228959072896,-0.0797875960758,0.508195543236,0.253744785394,1.0,0.609585684977,0.301490197461
from_poi_to_this_person,0.190460036706,0.40734891946,0.217234951293,0.215986746235,0.100622121381,0.641137079753,-0.0466531980628,-0.195217499406,0.138006607943,0.148235012558,0.125965038954,0.160612401097,0.26740005017,0.125990045547,-0.167538686242,0.618484359372,1.0,0.253744785394,0.497978855229,0.733038164365
from_this_person_to_poi,0.129618627804,0.2069589573,0.00237448382555,0.0622088765827,-0.00967902218975,0.448719481678,-0.0222677517113,-0.0049919279866,0.0220714056176,0.134638766732,0.00267018821324,-0.0492452911349,0.156910330957,0.0597957016497,-0.098722265203,0.60530557581,0.497978855229,0.609585684977,1.0,0.524710349117
loan_advances,0.220294962757,0.387788291433,0.0146820681443,0.964213542237,1.0,0.432386551435,-0.00487075341754,-0.0253676925479,0.630061008418,0.121676622133,0.568085637245,0.759361973028,0.402060291583,0.58128945414,-0.0275417630602,0.115600379024,0.100622121381,-0.0195177229365,-0.00967902218975,0.137420970794
long_term_incentive,0.257360789329,0.560364827866,0.119951504873,0.520633865202,0.402060291583,0.497975814653,-0.0388155134698,-0.296561412017,0.421740728247,0.0978978884359,0.399427728218,0.53493126586,1.0,0.343118831884,-0.157442509051,0.192924573118,0.26740005017,0.0554610665536,0.156910330957,0.280010972682
other,0.17039451899,0.54468189942,0.369037666621,0.830184452502,0.759361973028,0.383661089718,-0.00726097114455,-0.265704091351,0.634658500989,0.13887701317,0.55085057685,1.0,0.53493126586,0.635038163582,-0.0798989625663,0.106602990059,0.160612401097,-0.0543163987399,-0.0492452911349,0.181186404959
poi,1.0,0.34012042736,-0.0390672626834,0.242520645593,0.220294962757,0.359381303662,-0.0213875352284,-0.274761778742,0.383381573948,0.205076641522,0.387552515957,0.17039451899,0.257360789329,0.248509325717,-0.120936203747,0.108729560098,0.190460036706,-0.0339816571051,0.129618627804,0.240875812785
restricted_stock,0.248509325717,0.538744554038,0.0886142146513,0.603826273207,0.58128945414,0.423973732836,-0.145452052952,-0.12648650577,0.780557528525,0.181428348658,0.587478889032,0.635038163582,0.343118831884,1.0,-0.177184732758,0.160125682163,0.125990045547,0.0228959072896,0.0597957016497,0.181571989571
restricted_stock_deferred,-0.0213875352284,-0.0885295446149,-0.0303867520065,0.127652910977,-0.00487075341754,-0.0432032823267,1.0,0.0478429154782,-0.0450487950317,-0.0675393457922,-0.00218135157693,-0.00726097114455,-0.0388155134698,-0.145452052952,0.346193385412,-0.0276450153072,-0.0466531980628,-0.0223959274226,-0.0222677517113,-0.0208756823271
salary,0.34012042736,1.0,0.243606393803,0.51129310319,0.387788291433,0.649637633909,-0.0885295446149,-0.330233599019,0.522060935059,0.3614326445,0.449913093968,0.54468189942,0.560364827866,0.538744554038,-0.302187886136,0.396559464472,0.40734891946,0.14404324437,0.2069589573,0.511912845975
shared_receipt_with_poi,0.240875812785,0.511912845975,0.210610280687,0.254308229178,0.137420970794,0.665150870095,-0.0208756823271,-0.236774905886,0.156802509412,0.287914833967,0.126581370016,0.181186404959,0.280010972682,0.181571989571,-0.196130375743,0.881534109523,0.733038164365,0.301490197461,0.524710349117,1.0
to_messages,0.108729560098,0.396559464472,0.124692429925,0.197708540324,0.115600379024,0.520081104133,-0.0276450153072,-0.122059927999,0.118573250084,0.243540776497,0.0859180649044,0.106602990059,0.192924573118,0.160125682163,-0.169388784732,1.0,0.618484359372,0.508195543236,0.60530557581,0.881534109523
total_payments,0.242520645593,0.51129310319,0.141531112245,1.0,0.964213542237,0.559795188205,0.127652910977,-0.103968953866,0.661676565442,0.151734201219,0.598970769423,0.830184452502,0.520633865202,0.603826273207,-0.0259157197965,0.197708540324,0.215986746235,0.00909323617868,0.0622088765827,0.254308229178
total_stock_value,0.383381573948,0.522060935059,0.119081553954,0.661676565442,0.630061008418,0.461614735468,-0.0450487950317,-0.245018003997,1.0,0.153640086551,0.963921426094,0.634658500989,0.421740728247,0.780557528525,-0.146216865516,0.118573250084,0.138006607943,-0.0112685712152,0.0220714056176,0.156802509412
bonus_salary_gap,0.338208313971,0.545199350683,0.151840861127,0.53185303503,0.410990545091,0.990735495414,-0.0329097337548,-0.306933079431,0.422495254079,0.208697436719,0.385773768222,0.33459100834,0.466487644672,0.37611218845,-0.145407796546,0.504278540427,0.637249502637,0.166400967636,0.459504566441,0.643745588512
pct_email_to_poi,0.323884563181,0.306940058528,0.134489876748,0.188699287739,0.152663336737,0.263862693997,-0.0264175332011,-0.153881118555,0.124408535718,0.0708162920198,0.109595850683,0.153871937479,0.160863312925,0.11631702581,-0.184108032748,0.123971935866,0.25892289954,-0.0572722084448,0.0844275743584,0.289563580059
